Ne																																																																																		
npops = 14																																																																																		
nloci = 41																																																																																		
																																																																																		
	NGS-SSsp2210		NGS-SsaD486		Ssa-1.7		Ssa-10.1		Ssa-10.2		Ssa-11.2		Ssa-11.3		Ssa-11.5		Ssa-11.8		Ssa-12.5		Ssa-13.8		Ssa-14.2		Ssa-14.3		Ssa-14.5		Ssa-14.6		Ssa-14.8		Ssa-15.1		Ssa-15.3		Ssa-15.7		Ssa-17.1		Ssa-18.7		Ssa-19.1		Ssa-19.2		Ssa-19.3		Ssa-2.1		Ssa-2.2		Ssa-2.7		Ssa-20.2		Ssa-21.2		Ssa-22.2		Ssa-22.9		Ssa-22.d31		Ssa-25.11		Ssa-25.2		Ssa-26.1		Ssa-4.d44		Ssa-5.2		Ssa-6.2		Ssa-7.12		Ssa-9.3		Ssa-9.8	
pop = 2015PU																																																																																		
17R0006	45	49	40	40	49	49	40	40	48	51	43	73	54	63	37	46	64	73	69	69	42	42	42	54	64	64	21	36	42	45	60	60	43	49	53	53	64	70	64	64	68	71	56	83	38	41	49	55	34	34	35	35	43	46	42	42	60	78	59	59	64	64	50	50	39	39	42	42	33	57	35	39	43	49	40	46	36	45	40	46	34	34
17R0013	41	45	40	52	55	55	28	40	51	54	58	73	51	54	46	46	73	73	69	69	42	48	42	54	64	64	36	36	42	45	60	60	49	49	53	53	64	64	?	?	68	71	56	83	38	38	49	55	34	34	35	41	37	37	42	42	60	78	65	71	64	67	50	50	39	39	42	51	57	66	37	39	49	49	40	40	36	45	46	46	31	34
17R0096	45	49	32	44	55	58	37	40	51	51	58	73	51	54	37	46	73	73	69	72	42	42	42	54	64	64	36	36	42	45	57	60	43	43	53	65	73	73	58	58	71	71	56	56	41	41	52	55	34	34	35	35	37	43	39	42	60	60	59	80	58	64	50	50	39	39	36	42	33	33	37	39	49	49	40	46	30	45	37	46	31	31
17R0104	37	45	40	40	49	52	37	40	48	48	43	73	54	63	37	46	64	73	69	69	42	42	42	54	64	70	?	?	42	45	63	63	43	49	62	65	73	79	?	?	68	71	56	83	38	41	49	55	34	34	35	35	43	43	?	?	60	78	59	59	64	64	50	50	39	39	36	42	33	57	35	39	43	49	40	46	45	45	37	40	34	34
17R0110	25	37	40	44	52	55	40	40	51	51	43	49	63	63	37	37	73	73	69	69	42	42	42	54	64	64	21	36	42	45	60	60	43	49	53	53	64	70	46	55	68	71	56	62	38	38	55	55	34	34	35	35	43	46	?	?	60	78	59	59	64	64	50	50	39	39	36	42	33	33	35	39	49	49	40	46	36	45	37	40	34	37
17R0164	45	49	40	56	52	58	28	40	51	51	43	73	54	63	37	37	73	73	69	69	42	42	54	54	64	64	36	36	42	42	57	60	43	43	53	59	61	64	64	64	68	71	62	62	38	38	52	55	28	34	35	35	43	43	?	?	60	75	59	59	64	64	50	54	39	39	42	42	33	33	35	37	49	49	46	46	30	45	37	40	31	34
17R0206	37	49	40	56	49	58	37	40	51	51	49	58	51	54	46	49	73	73	69	72	?	?	42	54	64	64	36	36	42	45	60	60	43	43	59	65	61	73	46	58	71	71	56	83	38	41	52	55	34	34	35	35	43	43	42	42	60	60	59	80	64	64	50	54	39	39	42	42	33	57	35	37	49	49	46	49	30	45	37	37	31	37
17R0218	37	41	40	40	55	55	28	40	51	54	49	58	54	54	37	46	?	?	69	69	?	?	42	54	64	64	36	36	42	42	?	?	49	49	53	53	73	79	46	64	?	?	56	62	38	41	55	55	34	34	35	41	16	37	39	39	60	78	71	83	64	67	50	50	39	39	51	51	33	33	35	37	49	49	40	40	36	45	40	46	?	?
17R0346	25	45	40	44	55	55	37	40	48	51	49	58	57	63	37	46	73	73	69	69	42	42	42	42	64	70	36	39	42	45	63	66	49	49	53	62	79	79	64	64	71	71	56	56	38	38	55	55	34	34	35	41	43	43	39	42	60	78	80	83	64	64	50	56	39	39	42	42	33	57	37	39	49	49	46	46	30	36	37	46	31	34
