ID	NumUnique	PopUniq	Nom_Pop	Year	Origine	Sex	Assigned
14A003	1	2	Puyjalon	2014	Adult	F	non
14A004	2	2	Puyjalon	2014	Adult	M	non
14A005	3	2	Puyjalon	2014	Adult	F	non
14A008	4	2	Puyjalon	2014	Adult	F	non
14A009	5	2	Puyjalon	2014	Adult	M	non
14A010	6	2	Puyjalon	2014	Adult	F	non
14A011	7	2	Puyjalon	2014	Adult	M	non
14A012	8	2	Puyjalon	2014	Adult	F	non
14A015	9	2	Puyjalon	2014	Adult	F	non
14A016	10	2	Puyjalon	2014	Adult	F	non
13021	11	2	Puyjalon	2015	Smolt	F	non
13023	12	1	Romaine	2015	Smolt	F	non
13030	13	1	Romaine	2015	Smolt	M	non
13036	14	1	Romaine	2015	Smolt	M	non
13047	15	1	Romaine	2015	Smolt	F	non
13056	16	1	Romaine	2015	Smolt	F	non
13061	17	2	Puyjalon	2015	Smolt	F	non
13075	18	2	Puyjalon	2015	Smolt	M	non
13077	19	2	Puyjalon	2015	Smolt	M	non
13080	20	1	Romaine	2015	Smolt	M	non
13086	21	2	Puyjalon	2015	Smolt	M	non
13089	22	1	Romaine	2015	Smolt	M	non
13108	23	2	Puyjalon	2015	Smolt	M	non
13112	24	1	Romaine	2015	Smolt	M	non
13116	25	1	Romaine	2015	Smolt	F	non
13172	26	2	Puyjalon	2015	Smolt	M	non
13181	27	1	Romaine	2015	Smolt	M	non
13187	28	2	Puyjalon	2015	Smolt	M	non
13194	29	1	Romaine	2015	Smolt	M	non
14077	30	1	Romaine	2015	Smolt	M	non
14086	31	1	Romaine	2015	Smolt	M	non
14128	32	1	Romaine	2015	Smolt	M	non
14A001	33	1	Romaine	2015	Adult	M	non
14A002	34	2	Puyjalon	2015	Adult	F	non
14A012	35	2	Puyjalon	2015	Adult	F	non
13001	36	2	Puyjalon	2016	Smolt	F	non
13002	37	1	Romaine	2016	Smolt	M	non
13003	38	1	Romaine	2016	Smolt	F	non
13006	39	1	Romaine	2016	Smolt	F	non
13012	40	2	Puyjalon	2016	Smolt	F	non
13013	41	1	Romaine	2016	Smolt	M	non
13014	42	2	Puyjalon	2016	Smolt	F	non
13015	43	1	Romaine	2016	Smolt	F	non
13016	44	1	Romaine	2016	Smolt	F	non
13018	45	2	Puyjalon	2016	Smolt	M	non
13019	46	1	Romaine	2016	Smolt	M	non
13020	47	2	Puyjalon	2016	Smolt	F	non
13021	48	2	Puyjalon	2016	Smolt	F	non
13024	49	2	Puyjalon	2016	Smolt	M	non
13025	50	2	Puyjalon	2016	Smolt	F	non
13026	51	1	Romaine	2016	Smolt	M	non
13027	52	2	Puyjalon	2016	Smolt	F	non
13028	53	2	Puyjalon	2016	Smolt	F	non
13031	54	2	Puyjalon	2016	Smolt	M	non
13032	55	2	Puyjalon	2016	Smolt	F	non
13033	56	2	Puyjalon	2016	Smolt	F	non
13034	57	2	Puyjalon	2016	Smolt	M	non
13035	58	1	Romaine	2016	Smolt	F	non
13041	59	2	Puyjalon	2016	Smolt	M	non
13042	60	1	Romaine	2016	Smolt	M	non
13043	61	1	Romaine	2016	Smolt	F	non
13045	62	1	Romaine	2016	Smolt	M	non
13048	63	2	Puyjalon	2016	Smolt	M	non
13051	64	2	Puyjalon	2016	Smolt	F	non
13052	65	2	Puyjalon	2016	Smolt	M	non
13053	66	1	Romaine	2016	Smolt	M	non
13054	67	1	Romaine	2016	Smolt	F	non
13055	68	1	Romaine	2016	Smolt	M	non
13056	69	1	Romaine	2016	Smolt	F	non
13059	70	1	Romaine	2016	Smolt	F	non
13060	71	2	Puyjalon	2016	Smolt	F	non
13061	72	2	Puyjalon	2016	Smolt	F	non
13064	73	2	Puyjalon	2016	Smolt	M	non
13071	74	1	Romaine	2016	Smolt	F	non
13072	75	2	Puyjalon	2016	Smolt	F	non
13073	76	2	Puyjalon	2016	Smolt	F	non
13074	77	1	Romaine	2016	Smolt	F	non
13076	78	1	Romaine	2016	Smolt	F	non
13077	79	2	Puyjalon	2016	Smolt	M	non
13080	80	1	Romaine	2016	Smolt	M	non
13081	81	1	Romaine	2016	Smolt	F	non
13082	82	2	Puyjalon	2016	Smolt	F	non
13085	83	2	Puyjalon	2016	Smolt	F	non
13088	84	1	Romaine	2016	Smolt	F	non
13090	85	2	Puyjalon	2016	Smolt	F	non
13092	86	1	Romaine	2016	Smolt	F	non
13093	87	1	Romaine	2016	Smolt	F	non
13094	88	1	Romaine	2016	Smolt	F	non
13095	89	2	Puyjalon	2016	Smolt	F	non
13097	90	2	Puyjalon	2016	Smolt	F	non
13098	91	2	Puyjalon	2016	Smolt	M	non
13099	92	1	Romaine	2016	Smolt	F	non
13101	93	2	Puyjalon	2016	Smolt	F	non
13102	94	2	Puyjalon	2016	Smolt	F	non
13107	95	2	Puyjalon	2016	Smolt	F	non
13108	96	2	Puyjalon	2016	Smolt	M	non
13109	97	2	Puyjalon	2016	Smolt	F	non
13110	98	2	Puyjalon	2016	Smolt	M	non
13111	99	1	Romaine	2016	Smolt	M	non
13117	100	1	Romaine	2016	Smolt	F	non
13118	101	1	Romaine	2016	Smolt	M	non
13119	102	1	Romaine	2016	Smolt	M	non
13120	103	2	Puyjalon	2016	Smolt	F	non
13121	104	2	Puyjalon	2016	Smolt	M	non
13125	105	1	Romaine	2016	Smolt	F	non
13127	106	2	Puyjalon	2016	Smolt	F	non
13129	107	1	Romaine	2016	Smolt	M	non
13130	108	2	Puyjalon	2016	Smolt	M	non
13131	109	1	Romaine	2016	Smolt	M	non
13135	110	2	Puyjalon	2016	Smolt	F	non
13137	111	2	Puyjalon	2016	Smolt	F	non
13138	112	1	Romaine	2016	Smolt	F	non
13139	113	2	Puyjalon	2016	Smolt	M	non
13140	114	2	Puyjalon	2016	Smolt	F	non
13141	115	2	Puyjalon	2016	Smolt	F	non
13143	116	1	Romaine	2016	Smolt	F	non
13148	117	2	Puyjalon	2016	Smolt	F	non
13149	118	1	Romaine	2016	Smolt	M	non
13151	119	1	Romaine	2016	Smolt	F	non
13157	120	2	Puyjalon	2016	Smolt	M	non
13163	121	1	Romaine	2016	Smolt	F	non
13164	122	1	Romaine	2016	Smolt	F	non
13167	123	1	Romaine	2016	Smolt	F	non
13168	124	1	Romaine	2016	Smolt	F	non
13171	125	1	Romaine	2016	Smolt	F	non
13173	126	2	Puyjalon	2016	Smolt	F	non
13175	127	2	Puyjalon	2016	Smolt	F	non
13177	128	2	Puyjalon	2016	Smolt	M	non
13178	129	2	Puyjalon	2016	Smolt	F	non
13180	130	1	Romaine	2016	Smolt	F	non
13181	131	1	Romaine	2016	Smolt	M	non
13190	132	1	Romaine	2016	Smolt	M	non
13192	133	1	Romaine	2016	Smolt	F	non
13193	134	2	Puyjalon	2016	Smolt	M	non
13196	135	2	Puyjalon	2016	Smolt	M	non
14013	136	1	Romaine	2016	Smolt	F	non
14020	137	1	Romaine	2016	Smolt	M	non
14022	138	1	Romaine	2016	Smolt	F	non
14025	139	1	Romaine	2016	Smolt	F	non
14032	140	1	Romaine	2016	Smolt	F	non
14034	141	1	Romaine	2016	Smolt	M	non
14043	142	1	Romaine	2016	Smolt	F	non
14066	143	1	Romaine	2016	Smolt	M	non
14074	144	1	Romaine	2016	Smolt	F	non
14076	145	1	Romaine	2016	Smolt	F	non
14099	146	1	Romaine	2016	Smolt	M	non
14103	147	2	Puyjalon	2016	Smolt	F	non
14115	148	1	Romaine	2016	Smolt	F	non
14128	149	1	Romaine	2016	Smolt	M	non
