id	Pop	Year
14A003	Puyjalon	2014
14A004	Puyjalon	2014
14A005	Puyjalon	2014
14A008	Puyjalon	2014
14A009	Puyjalon	2014
14A010	Puyjalon	2014
14A011	Puyjalon	2014
14A012	Puyjalon	2014
14A015	Puyjalon	2014
14A016	Puyjalon	2014
13021	Puyjalon	2015
13023	Romaine	2015
13030	Romaine	2015
13036	Romaine	2015
13047	Romaine	2015
13056	Romaine	2015
13061	Puyjalon	2015
13075	Puyjalon	2015
13077	Puyjalon	2015
13080	Romaine	2015
13086	Puyjalon	2015
13089	Romaine	2015
13108	Puyjalon	2015
13112	Romaine	2015
13116	Romaine	2015
13172	Puyjalon	2015
13181	Romaine	2015
13187	Puyjalon	2015
13194	Romaine	2015
14077	Romaine	2015
14086	Romaine	2015
14128	Romaine	2015
14A001	Romaine	2015
14A002	Puyjalon	2015
14A012	Puyjalon	2015
13001	Puyjalon	2016
13002	Romaine	2016
13003	Romaine	2016
13006	Romaine	2016
13012	Puyjalon	2016
13013	Romaine	2016
13014	Puyjalon	2016
13015	Romaine	2016
13016	Romaine	2016
13018	Puyjalon	2016
13019	Romaine	2016
13020	Puyjalon	2016
13021	Puyjalon	2016
13024	Puyjalon	2016
13025	Puyjalon	2016
13026	Romaine	2016
13027	Puyjalon	2016
13028	Puyjalon	2016
13031	Puyjalon	2016
13032	Puyjalon	2016
13033	Puyjalon	2016
13034	Puyjalon	2016
13035	Romaine	2016
13041	Puyjalon	2016
13042	Romaine	2016
13043	Romaine	2016
13045	Romaine	2016
13048	Puyjalon	2016
13051	Puyjalon	2016
13052	Puyjalon	2016
13053	Romaine	2016
13054	Romaine	2016
13055	Romaine	2016
13056	Romaine	2016
13059	Romaine	2016
13060	Puyjalon	2016
13061	Puyjalon	2016
13064	Puyjalon	2016
13071	Romaine	2016
13072	Puyjalon	2016
13073	Puyjalon	2016
13074	Romaine	2016
13076	Romaine	2016
13077	Puyjalon	2016
13080	Romaine	2016
13081	Romaine	2016
13082	Puyjalon	2016
13085	Puyjalon	2016
13088	Romaine	2016
13090	Puyjalon	2016
13092	Romaine	2016
13093	Romaine	2016
13094	Romaine	2016
13095	Puyjalon	2016
13097	Puyjalon	2016
13098	Puyjalon	2016
13099	Romaine	2016
13101	Puyjalon	2016
13102	Puyjalon	2016
13107	Puyjalon	2016
13108	Puyjalon	2016
13109	Puyjalon	2016
13110	Puyjalon	2016
13111	Romaine	2016
13117	Romaine	2016
13118	Romaine	2016
13119	Romaine	2016
13120	Puyjalon	2016
13121	Puyjalon	2016
13125	Romaine	2016
13127	Puyjalon	2016
13129	Romaine	2016
13130	Puyjalon	2016
13131	Romaine	2016
13135	Puyjalon	2016
13137	Puyjalon	2016
13138	Romaine	2016
13139	Puyjalon	2016
13140	Puyjalon	2016
13141	Puyjalon	2016
13143	Romaine	2016
13148	Puyjalon	2016
13149	Romaine	2016
13151	Romaine	2016
13157	Puyjalon	2016
13163	Romaine	2016
13164	Romaine	2016
13167	Romaine	2016
13168	Romaine	2016
13171	Romaine	2016
13173	Puyjalon	2016
13175	Puyjalon	2016
13177	Puyjalon	2016
13178	Puyjalon	2016
13180	Romaine	2016
13181	Romaine	2016
13190	Romaine	2016
13192	Romaine	2016
13193	Puyjalon	2016
13196	Puyjalon	2016
14013	Romaine	2016
14020	Romaine	2016
14022	Romaine	2016
14025	Romaine	2016
14032	Romaine	2016
14034	Romaine	2016
14043	Romaine	2016
14066	Romaine	2016
14074	Romaine	2016
14076	Romaine	2016
14099	Romaine	2016
14103	Puyjalon	2016
14115	Romaine	2016
14128	Romaine	2016
14136	Puyjalon	2016
14138	Puyjalon	2016
14140	Puyjalon	2016
14141	Puyjalon	2016
14144	Romaine	2016
14157	Puyjalon	2016
14158	Puyjalon	2016
14163	Puyjalon	2016
15039	Romaine	2016
13003	Romaine	2017
13006	Romaine	2017
13007	Puyjalon	2017
13011	Romaine	2017
13016	Romaine	2017
13019	Romaine	2017
