ID	Origin	Stage	Year	Sex	Population
14A001	AdulteLARSA	Adult	2014	M	Romaine
14A002	AdulteLARSA	Adult	2014	F	Puyjalon
14A003	AdulteLARSA	Adult	2014	F	Puyjalon
14A004	AdulteLARSA	Adult	2014	M	Puyjalon
14A005	AdulteLARSA	Adult	2014	F	Puyjalon
14A008	AdulteLARSA	Adult	2014	F	Puyjalon
14A009	AdulteLARSA	Adult	2014	M	Puyjalon
14A010	AdulteLARSA	Adult	2014	F	Puyjalon
14A011	AdulteLARSA	Adult	2014	M	Puyjalon
14A012	AdulteLARSA	Adult	2014	F	Puyjalon
14A013	AdulteLARSA	Adult	2014	M	Romaine
14A014	AdulteLARSA	Adult	2014	F	Puyjalon
14A015	AdulteLARSA	Adult	2014	F	Puyjalon
14A016	AdulteLARSA	Adult	2014	F	Puyjalon
13001	SmoltLARSA	Smolt	2013	F	Puyjalon
13002	SmoltLARSA	Smolt	2013	M	Romaine
13003	SmoltLARSA	Smolt	2013	F	Romaine
13006	SmoltLARSA	Smolt	2013	F	Romaine
13007	SmoltLARSA	Smolt	2013	F	Puyjalon
13011	SmoltLARSA	Smolt	2013	M	Romaine
13012	SmoltLARSA	Smolt	2013	F	Puyjalon
13013	SmoltLARSA	Smolt	2013	M	Romaine
13014	SmoltLARSA	Smolt	2013	F	Puyjalon
13015	SmoltLARSA	Smolt	2013	F	Romaine
13016	SmoltLARSA	Smolt	2013	F	Romaine
13018	SmoltLARSA	Smolt	2013	M	Puyjalon
13019	SmoltLARSA	Smolt	2013	M	Romaine
13020	SmoltLARSA	Smolt	2013	F	Puyjalon
13021	SmoltLARSA	Smolt	2013	F	Puyjalon
13023	SmoltLARSA	Smolt	2013	F	Romaine
13024	SmoltLARSA	Smolt	2013	M	Puyjalon
13025	SmoltLARSA	Smolt	2013	F	Puyjalon
13026	SmoltLARSA	Smolt	2013	M	Romaine
13027	SmoltLARSA	Smolt	2013	F	Puyjalon
13028	SmoltLARSA	Smolt	2013	F	Puyjalon
13029	SmoltLARSA	Smolt	2013	M	Romaine
13030	SmoltLARSA	Smolt	2013	M	Romaine
13031	SmoltLARSA	Smolt	2013	M	Puyjalon
13032	SmoltLARSA	Smolt	2013	F	Puyjalon
13033	SmoltLARSA	Smolt	2013	F	Puyjalon
13034	SmoltLARSA	Smolt	2013	M	Puyjalon
13035	SmoltLARSA	Smolt	2013	F	Romaine
13036	SmoltLARSA	Smolt	2013	M	Romaine
13040	SmoltLARSA	Smolt	2013	F	Puyjalon
13041	SmoltLARSA	Smolt	2013	M	Puyjalon
13042	SmoltLARSA	Smolt	2013	M	Romaine
13043	SmoltLARSA	Smolt	2013	F	Romaine
13045	SmoltLARSA	Smolt	2013	M	Romaine
13047	SmoltLARSA	Smolt	2013	F	Romaine
13048	SmoltLARSA	Smolt	2013	M	Puyjalon
13051	SmoltLARSA	Smolt	2013	F	Puyjalon
13052	SmoltLARSA	Smolt	2013	M	Puyjalon
13053	SmoltLARSA	Smolt	2013	M	Romaine
13054	SmoltLARSA	Smolt	2013	F	Romaine
13055	SmoltLARSA	Smolt	2013	M	Romaine
13056	SmoltLARSA	Smolt	2013	F	Romaine
13059	SmoltLARSA	Smolt	2013	F	Romaine
13060	SmoltLARSA	Smolt	2013	F	Puyjalon
13061	SmoltLARSA	Smolt	2013	F	Puyjalon
13062	SmoltLARSA	Smolt	2013	F	Romaine
13063	SmoltLARSA	Smolt	2013	M	Romaine
13064	SmoltLARSA	Smolt	2013	M	Puyjalon
13065	SmoltLARSA	Smolt	2013	F	Romaine
13066	SmoltLARSA	Smolt	2013	M	Romaine
13069	SmoltLARSA	Smolt	2013	M	Puyjalon
13070	SmoltLARSA	Smolt	2013	M	Romaine
13071	SmoltLARSA	Smolt	2013	F	Romaine
13072	SmoltLARSA	Smolt	2013	F	Puyjalon
13073	SmoltLARSA	Smolt	2013	F	Puyjalon
13074	SmoltLARSA	Smolt	2013	F	Romaine
13075	SmoltLARSA	Smolt	2013	M	Puyjalon
13076	SmoltLARSA	Smolt	2013	F	Romaine
13077	SmoltLARSA	Smolt	2013	M	Puyjalon
13080	SmoltLARSA	Smolt	2013	M	Romaine
13081	SmoltLARSA	Smolt	2013	F	Romaine
13082	SmoltLARSA	Smolt	2013	F	Puyjalon
13083	SmoltLARSA	Smolt	2013	M	Puyjalon
13085	SmoltLARSA	Smolt	2013	F	Puyjalon
13086	SmoltLARSA	Smolt	2013	M	Puyjalon
13088	SmoltLARSA	Smolt	2013	F	Romaine
13089	SmoltLARSA	Smolt	2013	M	Romaine
13090	SmoltLARSA	Smolt	2013	F	Puyjalon
13091	SmoltLARSA	Smolt	2013	F	Romaine
13092	SmoltLARSA	Smolt	2013	F	Romaine
13093	SmoltLARSA	Smolt	2013	F	Romaine
13094	SmoltLARSA	Smolt	2013	F	Romaine
13095	SmoltLARSA	Smolt	2013	F	Puyjalon
13096	SmoltLARSA	Smolt	2013	F	Puyjalon
13097	SmoltLARSA	Smolt	2013	F	Puyjalon
13098	SmoltLARSA	Smolt	2013	M	Puyjalon
13099	SmoltLARSA	Smolt	2013	F	Romaine
13101	SmoltLARSA	Smolt	2013	F	Puyjalon
13102	SmoltLARSA	Smolt	2013	F	Puyjalon
13103	SmoltLARSA	Smolt	2013	M	Romaine
13105	SmoltLARSA	Smolt	2013	M	Puyjalon
13107	SmoltLARSA	Smolt	2013	F	Puyjalon
13108	SmoltLARSA	Smolt	2013	M	Puyjalon
13109	SmoltLARSA	Smolt	2013	F	Puyjalon
13110	SmoltLARSA	Smolt	2013	M	Puyjalon
13111	SmoltLARSA	Smolt	2013	M	Romaine
13112	SmoltLARSA	Smolt	2013	M	Romaine
13113	SmoltLARSA	Smolt	2013	M	Puyjalon
13116	SmoltLARSA	Smolt	2013	F	Romaine
13117	SmoltLARSA	Smolt	2013	F	Romaine
13118	SmoltLARSA	Smolt	2013	M	Romaine
