Croisement	F_ID	OrigineF	Cohorte_F	M_ID	Origine_M	Cohorte_M	Year	Stocking_Year	Type	Offspring	Family	Cross	Family_N	Family_L	X	Dead_byF	Dead_byF2	Dead	Survival	Offspring_Surv
14A01014A004	14A010	Puyjalon	NA	14A004	Puyjalon	NA	2014	2015	RAS	2000										
14A00514A004	14A005	Puyjalon	NA	14A004	Puyjalon	NA	2014	2015	RAS	3553										
14A01214A004	14A012	Puyjalon	NA	14A004	Puyjalon	NA	2014	2015	RAS	3897										
14A01514A011	14A015	Puyjalon	NA	14A011	Puyjalon	NA	2014	2015	RAS	1293										
14A00514A011	14A005	Puyjalon	NA	14A011	Puyjalon	NA	2014	2015	RAS	3685										
14A01614A011	14A016	Puyjalon	NA	14A011	Puyjalon	NA	2014	2015	RAS	4708										
14A00314A011	14A003	Puyjalon	NA	14A011	Puyjalon	NA	2014	2015	RAS	3343										
14A00814A011	14A008	Puyjalon	NA	14A011	Puyjalon	NA	2014	2015	RAS	2251										
14A01214A011	14A012	Puyjalon	NA	14A011	Puyjalon	NA	2014	2015	RAS	4525										
14A01514A009	14A015	Puyjalon	NA	14A009	Puyjalon	NA	2014	2015	RAS	2406										
14A01014A009	14A010	Puyjalon	NA	14A009	Puyjalon	NA	2014	2015	RAS	2250										
14A00514A009	14A005	Puyjalon	NA	14A009	Puyjalon	NA	2014	2015	RAS	3158										
14A01614A009	14A016	Puyjalon	NA	14A009	Puyjalon	NA	2014	2015	RAS	5591										
14A00314A009	14A003	Puyjalon	NA	14A009	Puyjalon	NA	2014	2015	RAS	2971										
1302113075	13021	Puyjalon	2013	13075	Puyjalon	2013	2015	2016	RAS	1200										
1302113187	13021	Puyjalon	2013	13187	Puyjalon	2013	2015	2016	RAS	1265										
1302313181	13023	Romaine	2013	13181	Romaine	2013	2015	2016	RAS	807										
1302313194	13023	Romaine	2013	13194	Romaine	2013	2015	2016	RAS	792										
1302313089	13023	Romaine	2013	13089	Romaine	2013	2015	2016	RAS	835										
1302314A001	13023	Romaine	2013	14A001	Romaine	2014	2015	2016	RAS	649										
1304714077	13047	Romaine	2013	14077	Romaine	2014	2015	2016	RAS	1139										
1304713030	13047	Romaine	2013	13030	Romaine	2013	2015	2016	RAS	932										
1304714A001	13047	Romaine	2013	14A001	Romaine	2014	2015	2016	RAS	601										
1305613080	13056	Romaine	2013	13080	Romaine	2013	2015	2016	RAS	945										
1305613112	13056	Romaine	2013	13112	Romaine	2013	2015	2016	RAS	1007										
1305614A001	13056	Romaine	2013	14A001	Romaine	2014	2015	2016	RAS	1278										
1306113172	13061	Puyjalon	2013	13172	Puyjalon	2013	2015	2016	RAS	1279										
1306113108	13061	Puyjalon	2013	13108	Puyjalon	2013	2015	2016	RAS	878										
1311614086	13116	Romaine	2013	14086	Romaine	2014	2015	2016	RAS	1027										
1311614128	13116	Romaine	2013	14128	Romaine	2014	2015	2016	RAS	1224										
1311613036	13116	Romaine	2013	13036	Romaine	2013	2015	2016	RAS	927										
1311614A001	13116	Romaine	2013	14A001	Romaine	2014	2015	2016	RAS	871										
14A00213075	14A002	Puyjalon	2014	13075	Puyjalon	2013	2015	2016	RAS	1843										
14A01213077	14A012	Puyjalon	2014	13077	Puyjalon	2013	2015	2016	RAS	3670										
14A00213077	14A002	Puyjalon	2014	13077	Puyjalon	2013	2015	2016	RAS	1752										
14A01213172	14A012	Puyjalon	2014	13172	Puyjalon	2013	2015	2016	RAS	3802										
14A00213086	14A002	Puyjalon	2014	13086	Puyjalon	2013	2015	2016	RAS	1318										
14A00213108	14A002	Puyjalon	2014	13108	Puyjalon	2013	2015	2016	RAS	2110										
14A01213187	14A012	Puyjalon	2014	13187	Puyjalon	2013	2015	2016	RAS	3490										
1413814158	14138	Puyjalon	2014	14158	Puyjalon	2014	2016	2017	RAS	641	PU1-1A									
1413813041	14138	Puyjalon	2014	13041	Puyjalon	2013	2016	2017	RAS	641	PU1-1C									
1413814136	14138	Puyjalon	2014	14136	Puyjalon	2014	2016	2017	RAS	641	PU1-1B									
1314113108	13141	Puyjalon	2013	13108	Puyjalon	2013	2016	2017	RAS	1241	PU10-1A									
1314113024	13141	Puyjalon	2013	13024	Puyjalon	2013	2016	2017	RAS	1241	PU10-1B									
1314113177	13141	Puyjalon	2013	13177	Puyjalon	2013	2016	2017	RAS	1241	PU10-1C									
1303313108	13033	Puyjalon	2013	13108	Puyjalon	2013	2016	2017	RAS	1955	PU10-2A									
1303313024	13033	Puyjalon	2013	13024	Puyjalon	2013	2016	2017	RAS	1955	PU10-2B									
1303313177	13033	Puyjalon	2013	13177	Puyjalon	2013	2016	2017	RAS	1955	PU10-2C									
1307313108	13073	Puyjalon	2013	13108	Puyjalon	2013	2016	2017	RAS	2538	PU10-3A									
1307313024	13073	Puyjalon	2013	13024	Puyjalon	2013	2016	2017	RAS	2538	PU10-3B									
1307313177	13073	Puyjalon	2013	13177	Puyjalon	2013	2016	2017	RAS	2538	PU10-3C									
