ID	Population	Assigned
14A001	Romaine	non
14A002	Puyjalon	non
14A003	Puyjalon	non
14A004	Puyjalon	non
14A005	Puyjalon	non
14A008	Puyjalon	non
14A009	Puyjalon	non
14A010	Puyjalon	non
14A011	Puyjalon	non
14A012	Puyjalon	non
14A013	Romaine	non
14A014	Puyjalon	non
14A015	Puyjalon	non
14A016	Puyjalon	non
21SA001	Romaine	non
21SA002	Romaine	non
21SA003	Romaine	non
21SA004	Puyjalon	non
21SA005	Romaine	non
21SA006	Romaine	oui
21SA007	Romaine	non
21SA008	Romaine	non
21SA009	Romaine	non
21SA010	Puyjalon	non
21SA011	Puyjalon	non
22SA001	Puyjalon	oui
22SA002	Romaine	oui
22SA003	Puyjalon	non
22SA004	Puyjalon	oui
22SA005	Puyjalon	non
22SA006	Puyjalon	non
22SA007	Romaine	non
22SA008	Romaine	non
22SA009	Puyjalon	non
22SA010	Puyjalon	non
22SA011	Romaine	non
22SA012	Puyjalon	oui
22SA013	Romaine	oui
22SA014	Puyjalon	non
22SA015	Romaine	non
22SA016	Puyjalon	oui
22SA017	Puyjalon	non
22SA018	Puyjalon	non
22SA019	Romaine	oui
22SA020	Puyjalon	non
22SA021	Puyjalon	oui
22SA022	Puyjalon	non
22SA023	Puyjalon	non
22SA024	Romaine	oui
22SA025	Puyjalon	non
22SA026	Puyjalon	non
22SA027	Puyjalon	non
22SA029	Puyjalon	non
22SA030	Puyjalon	oui
22SA031	Puyjalon	non
22SA032	Romaine	oui
22SA033	Puyjalon	non
22SA034	Puyjalon	non
22SA035	Romaine	non
20ALPU001	Puyjalon	oui
20ALPU002	Puyjalon	non
20ALPU003	Romaine	oui
20ALPU004	Romaine	non
20ALPU005	Puyjalon	oui
20ALPU006	Puyjalon	non
20ALPU007	Puyjalon	oui
20ALPU008	Puyjalon	non
20ALPU009	Puyjalon	oui
20ALPU010	Puyjalon	oui
20ALPU011	Puyjalon	oui
20ALPU012	Puyjalon	oui
20ALPU013	Romaine	non
20ALPU014	Puyjalon	oui
20ALPU015	Puyjalon	non
20ALPU017	Puyjalon	non
20ALPU018	Puyjalon	non
20ALPU020	Puyjalon	non
20ALPU021	Puyjalon	oui
20ALPU022	Puyjalon	non
20ALPU023	Puyjalon	oui
20ALPU024	Puyjalon	ouimixte
20ALPU025	Puyjalon	ouimixte
20ALPU026	Puyjalon	non
20ALPU027	Puyjalon	non
20ALPU028	Puyjalon	oui
20ALPU029	Puyjalon	non
20ALPU030	Puyjalon	oui
20ALPU031	Puyjalon	ouimixte
20ALPU032	Puyjalon	oui
20ALPU033	Puyjalon	non
20ALPU034	Puyjalon	non
20ALPU035	Puyjalon	non
20ALPU036	Puyjalon	non
20ALPU037	Puyjalon	oui
20ALPU038	Puyjalon	non
20ALPU039	Puyjalon	oui
20ALPU040	Puyjalon	oui
20ALPU041	Puyjalon	oui
20ALPU042	Puyjalon	non
20ALPU043	Puyjalon	oui
20ALPU044	Puyjalon	oui
20ALPU045	Puyjalon	non
20ALPU046	Puyjalon	non
20ALPU047	Puyjalon	oui
20ALPU048	Puyjalon	non
20ALPU049	Puyjalon	oui
20ALPU050	Puyjalon	non
20ALPU051	Puyjalon	oui
20ALPU052	Puyjalon	oui
20ALPU053	Puyjalon	non
20ALPU054	Puyjalon	non
20ALPU055	Puyjalon	non
