Year	Type	Estimate	Lower	Upper
2013	PuyjalonW	11869	8438,975565	16552,79597
2013	RomaineW	9412	6692,024435	13126,20403
2013	PuyjalonH	0	0	0
2013	RomaineH	0	0	0
2014	PuyjalonW	18264	15271,43001	22222,35991
2014	RomaineW	9554	7988,569991	11624,64009
2014	PuyjalonH	0	0	0
2014	RomaineH	0	0	0
2015	PuyjalonW	8463	6147,514376	13722,64731
2015	RomaineW	3814	2770,485624	6184,352692
2015	PuyjalonH	0	0	0
2015	RomaineH	0	0	0
2016	PuyjalonW	12845	7612,344752	30817,02066
2016	RomaineW	2598	1539,655248	6232,979343
2016	PuyjalonH	0	0	0
2016	RomaineH	0	0	0
2017	PuyjalonW	8112,5682	6428,427594	11140,20494
2017	RomaineW	2637	2089,568081	3621,136946
2017	PuyjalonH	699,0438	507,7846875	1133,490668
2017	RomaineH	0	0	0
2018	PuyjalonW	9284	7086,762904	13440,84942
2018	RomaineW	2437	1860,237096	3528,150584
2018	PuyjalonH	0	0	0
2018	RomaineH	0	0	0
2019	PuyjalonW	21804,7335	17044,20498	30237,52443
2019	RomaineW	3625,647	2834,075943	5027,834426
2019	PuyjalonH	6312,2665	4934,138	8753,480639
2019	RomaineH	2559,353	2000,581074	3549,160501
2020	PuyjalonW	15575,6587	14476,32041	17057,75979
2020	RomaineW	1910,25	1775,423538	2092,019751
2020	PuyjalonH	4787,3413	4449,448202	5242,880542
2020	RomaineH	636,75	591,8078459	697,3399171
2021	PuyjalonW	17538	16273,40502	19254,29428
2021	RomaineW	1320	1224,820084	1449,177127
2021	PuyjalonH	2212	2052,501534	2428,469549
2021	RomaineH	440	408,2733612	483,0590423
2022	PuyjalonW	9343,4292	8556,229772	10235,78328
2022	RomaineW	1206,2358	1104,608431	1321,438625
2022	PuyjalonH	1669,5708	1528,906687	1829,024924
2022	RomaineH	575,7642	527,2551099	630,7531685
2023	PuyjalonW	9217,9703	8570,695549	10095,81932
2023	RomaineW	2600,234	2417,648706	2847,860407
2023	PuyjalonH	4233,0297	3935,791462	4636,151087
2023	RomaineH	539,766	501,8642828	591,1691873
2024	PuyjalonW	9793,784	8946,058474	10762,42842
2024	RomaineW	2291,1012	2092,789192	2517,700276
2024	PuyjalonH	2436,216	2225,343217	2677,16751
2024	RomaineH	624,8988	570,8091178	686,7037916
