Fraie	Cohorte	Population	N
2003	2004	Romaine	81
2003	2004	Puyjalon	31
2003	2004	Tributaries	84
2004	2005	Romaine	75
2004	2005	Puyjalon	22
2004	2005	Tributaries	19
2010	2011	Romaine	31
2010	2011	Puyjalon	57
2010	2011	Tributaries	28
2011	2012	Romaine	40
2011	2012	Puyjalon	49
2011	2012	Tributaries	47
2012	2013	Romaine	39
2012	2013	Puyjalon	31
2012	2013	Tributaries	17
2013	2014	Romaine	63
2013	2014	Puyjalon	31
2013	2014	Tributaries	18
2014	2015	Romaine	52
2014	2015	Puyjalon	20
2014	2015	Tributaries	NA
2015	2016	Romaine	138
2015	2016	Puyjalon	9
2015	2016	Tributaries	4
2016	2017	Romaine	205
2016	2017	Puyjalon	47
2016	2017	Tributaries	21
2017	2018	Romaine	93
2017	2018	Puyjalon	78
2017	2018	Tributaries	10
2018	2019	Romaine	74
2018	2019	Puyjalon	54
2018	2019	Tributaries	9
2019	2020	Romaine	87
2019	2020	Puyjalon	52
2019	2020	Tributaries	5
2020	2021	Romaine	78
2020	2021	Puyjalon	99
2020	2021	Tributaries	19
2021	2022	Romaine	89
2021	2022	Puyjalon	103
2021	2022	Tributaries	15
2022	2023	Romaine	88
2022	2023	Puyjalon	156
2022	2023	Tributaries	NA
2023	2024	Romaine	38
2023	2024	Puyjalon	121
2023	2024	Tributaries	5
2024	2025	Romaine	32
2024	2025	Puyjalon	33
2024	2025	Tributaries	7
