ID	Origin	Stage	Year	Sex	Population	Assigned	Stocking_Year	Mom	Dad	Cross	Type	AgeRiv	Cohorte	Notes
20ALPU001	Alevins	Fry	2020	M	Puyjalon	oui	2020	14002	14030	1400214030	SSRR	0	2020	
20ALPU002	Alevins	Fry	2020	F	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU003	Alevins	Fry	2020	M	Romaine	oui	2020	13151	14088	1315114088	LARSA	0	2020	
20ALPU004	Alevins	Fry	2020	NA	Romaine	non	NA	NA	NA	NA	W	0	2020	
20ALPU005	Alevins	Fry	2020	F	Puyjalon	oui	2020	14114	14156	1411414156	LARSA	0	2020	
20ALPU006	Alevins	Fry	2020	F	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU007	Alevins	Fry	2020	M	Puyjalon	oui	2020	14050	14030	1405014030	SSRR	0	2020	
20ALPU008	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU009	Alevins	Fry	2020	F	Puyjalon	oui	2020	14139	13179	1413913179	SSRR	0	2020	
20ALPU010	Alevins	Fry	2020	F	Puyjalon	oui	2020	15026	14030	1502614030	LARSA	0	2020	
20ALPU011	Alevins	Fry	2020	NA	Puyjalon	oui	2020	14104	14064	1410414064	SSRR	0	2020	
20ALPU012	Alevins	Fry	2020	F	Puyjalon	oui	2020	14114	14156	1411414156	LARSA	0	2020	
20ALPU013	Alevins	Fry	2020	F	Romaine	non	NA	NA	NA	NA	W	0	2020	
20ALPU014	Alevins	Fry	2020	F	Puyjalon	oui	2020	14150	14030	1415014030	SSRR	0	2020	
20ALPU015	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU016	Alevins	Fry	2020	M	Ind	non	NA	NA	NA	NA	NA	0	2020	No
20ALPU017	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU018	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU020	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU021	Alevins	Fry	2020	M	Puyjalon	oui	2020	15034	14064	1503414064	LARSA	0	2020	
20ALPU022	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU023	Alevins	Fry	2020	M	Puyjalon	oui	2020	14012	13083	1401213083	SSRR	0	2020	
20ALPU024	Alevins	Fry	2020	F	Puyjalon	non	NA	NA	NA	NA	NA	0	2020	No
20ALPU025	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	NA	0	2020	No
20ALPU026	Alevins	Fry	2020	F	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU027	Alevins	Fry	2020	F	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU028	Alevins	Fry	2020	F	Puyjalon	oui	2020	15034	14064	1503414064	LARSA	0	2020	
20ALPU029	Alevins	Fry	2020	F	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU030	Alevins	Fry	2020	M	Puyjalon	oui	2019	14029	14158	1402914158	LARSA	0	2020	
20ALPU031	Alevins	Fry	2020	F	Puyjalon	non	NA	NA	NA	NA	NA	0	2020	No
20ALPU032	Alevins	Fry	2020	F	Puyjalon	oui	2020	15034	14033	1503414033	LARSA	0	2020	
20ALPU033	Alevins	Fry	2020	F	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU034	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU035	Alevins	Fry	2020	F	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU036	Alevins	Fry	2020	F	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU037	Alevins	Fry	2020	F	Puyjalon	oui	2020	14141	14156	1414114156	LARSA	0	2020	
20ALPU038	Alevins	Fry	2020	F	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU039	Alevins	Fry	2020	M	Puyjalon	oui	2020	14004	13105	1400413105	SSRR	0	2020	
20ALPU040	Alevins	Fry	2020	F	Puyjalon	oui	2020	14004	13105	1400413105	SSRR	0	2020	
20ALPU041	Alevins	Fry	2020	F	Puyjalon	oui	2019	14150	13162	1415013162	LARSA	0	2020	
20ALPU042	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU043	Alevins	Fry	2020	M	Puyjalon	oui	2020	14004	13105	1400413105	SSRR	0	2020	
20ALPU044	Alevins	Fry	2020	M	Puyjalon	oui	2020	15034	14064	1503414064	LARSA	0	2020	
20ALPU045	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU046	Alevins	Fry	2020	F	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU047	Alevins	Fry	2020	M	Puyjalon	oui	2020	14154	13105	1415413105	SSRR	0	2020	
20ALPU048	Alevins	Fry	2020	F	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU049	Alevins	Fry	2020	F	Puyjalon	oui	2020	14004	15038	1400415038	SSRR	0	2020	
20ALPU050	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU051	Alevins	Fry	2020	F	Puyjalon	oui	2019	14150	14158	1415014158	LARSA	0	2020	
20ALPU052	Alevins	Fry	2020	M	Puyjalon	oui	2019	14052	14009	1405214009	LARSA	0	2020	
20ALPU053	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU054	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU055	Alevins	Fry	2020	M	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALPU056	Alevins	Fry	2020	M	Puyjalon	oui	2020	15034	14064	1503414064	LARSA	0	2020	
20ALPU057	Alevins	Fry	2020	NA	Puyjalon	non	NA	NA	NA	NA	W	0	2020	
20ALRO001	Alevins	Fry	2020	F	Romaine	oui	2020	13151	14088	1315114088	LARSA	0	2020	
20ALRO002	Alevins	Fry	2020	M	Romaine	oui	2020	14118	14011	1411814011	SSRR	0	2020	
20ALRO003	Alevins	Fry	2020	F	Puyjalon	oui	2020	15026	14033	1502614033	LARSA	0	2020	
20ALRO004	Alevins	Fry	2020	F	Romaine	non	NA	NA	NA	NA	W	0	2020	
20ALRO005	Alevins	Fry	2020	M	Puyjalon	oui	2020	14150	14156	1415014156	SSRR	0	2020	
20ALRO006	Alevins	Fry	2020	F	Romaine	non	NA	NA	NA	NA	W	0	2020	
20ALRO007	Alevins	Fry	2020	M	Romaine	non	NA	NA	NA	NA	W	0	2020	
20ALRO008	Alevins	Fry	2020	F	Romaine	oui	2020	15028	14011	1502814011	SSRR	0	2020	
20ALRO009	Alevins	Fry	2020	F	Romaine	oui	2020	13151	13030	1315113030	LARSA	0	2020	
20ALRO010	Alevins	Fry	2020	F	Romaine	non	NA	NA	NA	NA	W	0	2020	
20ALRO011	Alevins	Fry	2020	F	Romaine	non	NA	NA	NA	NA	W	0	2020	
20ALRO012	Alevins	Fry	2020	F	Puyjalon	oui	2020	14114	14156	1411414156	LARSA	0	2020	
20ALRO013	Alevins	Fry	2020	F	Romaine	oui	2020	13091	15039	1309115039	SSRR	0	2020	
20ALRO014	Alevins	Fry	2020	F	Romaine	oui	2020	14118	15035	1411815035	SSRR	0	2020	
