Ne																																																																																		
npops = 14																																																																																		
nloci = 41																																																																																		
																																																																																		
	NGS-SSsp2210		NGS-SsaD486		Ssa-1.7		Ssa-10.1		Ssa-10.2		Ssa-11.2		Ssa-11.3		Ssa-11.5		Ssa-11.8		Ssa-12.5		Ssa-13.8		Ssa-14.2		Ssa-14.3		Ssa-14.5		Ssa-14.6		Ssa-14.8		Ssa-15.1		Ssa-15.3		Ssa-15.7		Ssa-17.1		Ssa-18.7		Ssa-19.1		Ssa-19.2		Ssa-19.3		Ssa-2.1		Ssa-2.2		Ssa-2.7		Ssa-20.2		Ssa-21.2		Ssa-22.2		Ssa-22.9		Ssa-22.d31		Ssa-25.11		Ssa-25.2		Ssa-26.1		Ssa-4.d44		Ssa-5.2		Ssa-6.2		Ssa-7.12		Ssa-9.3		Ssa-9.8	
pop = 2015PU																																																																																		
17R0005	25	45	40	48	49	49	28	40	51	57	49	73	54	57	37	46	64	73	?	?	42	42	42	42	64	67	39	42	42	45	66	66	43	43	62	68	64	79	49	67	77	77	56	56	?	?	55	55	28	34	35	35	?	?	15	15	78	81	68	80	64	70	50	50	39	39	42	51	33	33	35	37	49	49	46	46	45	45	40	46	31	31
17R0012	37	45	36	40	52	55	28	28	51	54	43	73	54	63	37	46	73	73	69	69	42	48	54	54	64	70	36	36	42	45	?	?	43	49	56	62	64	79	?	?	68	71	59	62	38	41	52	55	34	34	35	35	43	43	42	42	60	60	?	?	64	64	50	54	39	39	42	42	33	33	37	39	43	49	40	40	30	45	37	46	28	37
17R0022	25	25	36	40	49	52	40	40	51	51	49	73	54	57	37	46	73	73	69	69	?	?	42	42	64	70	36	42	45	45	63	69	43	46	56	56	73	79	46	64	68	68	56	59	38	41	52	55	28	34	35	44	37	43	42	45	78	81	59	80	61	64	50	50	?	?	42	42	?	?	35	37	49	52	40	40	45	45	37	40	37	37
17R0024	37	37	32	40	49	55	28	37	51	54	49	49	54	57	37	37	?	?	69	72	42	48	42	60	67	70	?	?	45	45	?	?	46	49	53	53	64	73	?	?	?	?	62	62	38	38	55	55	28	34	35	35	43	43	39	42	?	?	59	71	?	?	50	50	39	39	42	51	33	33	35	37	49	49	46	46	36	45	37	37	31	37
17R0029	37	45	40	48	49	49	28	37	51	51	43	49	54	63	37	49	73	73	54	72	42	42	42	54	64	70	36	42	42	45	?	?	46	49	56	62	73	79	?	?	?	?	56	56	41	41	52	55	28	34	35	41	43	43	42	42	?	?	?	?	64	70	50	56	39	39	42	51	33	33	35	37	49	49	46	46	45	45	40	46	31	31
17R0032	25	41	40	40	49	49	37	37	51	51	49	73	63	63	37	37	67	73	69	72	42	42	42	60	64	64	36	39	45	45	66	69	43	43	53	65	73	79	46	46	68	71	62	83	38	38	55	55	34	34	35	35	34	43	45	45	60	78	56	80	64	64	50	50	39	39	36	51	33	54	37	37	49	49	40	46	45	45	37	40	31	37
17R0035	45	65	36	40	49	55	40	40	48	51	49	49	54	54	37	37	73	73	69	69	42	48	42	42	64	70	36	42	42	45	66	69	43	46	49	65	73	79	46	64	68	71	59	62	38	41	52	52	28	34	35	35	16	43	39	42	60	75	80	80	61	64	50	50	39	39	42	51	33	57	37	37	49	49	40	40	36	45	37	40	37	37
17R0061	25	45	40	52	55	55	28	37	45	51	58	73	54	57	37	46	64	73	69	69	42	42	42	60	64	70	36	39	42	45	57	66	43	49	53	62	64	79	46	55	71	71	62	62	38	38	52	55	28	34	35	35	43	43	?	?	78	78	80	80	64	67	54	54	48	48	36	51	54	57	35	35	49	49	40	40	45	51	37	37	34	37
17R0071	25	45	36	52	52	55	28	40	51	51	43	73	57	63	37	37	73	73	69	69	42	48	42	54	64	70	39	39	42	42	66	66	43	46	56	56	73	79	46	64	68	68	56	59	38	41	52	55	28	34	35	44	37	43	?	?	?	?	59	68	61	64	54	56	39	39	42	42	33	33	35	39	49	49	40	40	45	45	37	40	34	37
