ID	NumUnique	PopUniq	Nom_Pop	Assigned	Sexe	Year	Cohorte	NGS-SSsp2210	NGS-SSsp2210-b	NGS-SsaD486	NGS-SsaD486-b	Ssa-1.7	Ssa-1.7-b	Ssa-10.1	Ssa-10.1-b	Ssa-10.2	Ssa-10.2-b	Ssa-11.2	Ssa-11.2-b	Ssa-11.3	Ssa-11.3-b	Ssa-11.5	Ssa-11.5-b	Ssa-11.8	Ssa-11.8-b	Ssa-12.5	Ssa-12.5-b	Ssa-13.8	Ssa-13.8-b	Ssa-14.2	Ssa-14.2-b	Ssa-14.3	Ssa-14.3-b	Ssa-14.5	Ssa-14.5-b	Ssa-14.6	Ssa-14.6-b	Ssa-14.8	Ssa-14.8-b	Ssa-15.1	Ssa-15.1-b	Ssa-15.3	Ssa-15.3-b	Ssa-15.7	Ssa-15.7-b	Ssa-17.1	Ssa-17.1-b	Ssa-18.7	Ssa-18.7-b	Ssa-19.1	Ssa-19.1-b	Ssa-19.2	Ssa-19.2-b	Ssa-19.3	Ssa-19.3-b	Ssa-2.1	Ssa-2.1-b	Ssa-2.2	Ssa-2.2-b	Ssa-2.7	Ssa-2.7-b	Ssa-20.2	Ssa-20.2-b	Ssa-21.2	Ssa-21.2-b	Ssa-22.5	Ssa-22.5-b	Ssa-22.9	Ssa-22.9-b	Ssa-22.d31	Ssa-22.d31-b	Ssa-25.11	Ssa-25.11-b	Ssa-25.2	Ssa-25.2-b	Ssa-26.1	Ssa-26.1-b	Ssa-4.d44	Ssa-4.d44-b	Ssa-5.2	Ssa-5.2-b	Ssa-6.2	Ssa-6.2-b	Ssa-7.12	Ssa-7.12-b	Ssa-9.3	Ssa-9.3-b	Ssa-9.8	Ssa-9.8-b
17R0002	1	2	Puyjalon	non	F	2017	2014	25	25	40	52	0	0	37	43	51	51	43	49	0	0	0	0	73	73	0	0	42	42	42	54	67	67	36	36	42	45	60	60	49	49	53	65	64	73	43	46	68	71	56	62	X	X	49	55	28	34	35	35	X	X	15	15	60	78	80	83	61	64	50	54	39	39	36	42	33	33	37	37	49	49	40	46	45	45	37	46	28	37
17R0004	2	1	Romaine	non	F	2017	2015	25	45	36	52	0	0	40	40	51	51	43	73	54	63	46	46	73	73	0	0	42	42	42	42	64	64	36	39	42	45	57	66	43	46	53	65	73	73	43	43	68	71	59	62	X	X	55	58	34	37	35	44	0	0	15	15	60	78	59	71	58	67	56	56	39	39	36	51	33	33	35	35	49	49	40	46	30	45	40	40	31	31
17R0005	3	2	Puyjalon	non	F	2017	2015	25	45	40	48	49	49	28	40	51	57	49	73	54	57	37	46	64	73	0	0	42	42	42	42	64	67	39	42	42	45	66	66	43	43	62	68	64	79	49	67	77	77	56	56	0	0	55	55	28	34	35	35	0	0	15	15	78	81	68	80	64	70	50	50	39	39	42	51	33	33	35	37	49	49	46	46	45	45	40	46	31	31
17R0006	4	2	Puyjalon	oui	M	2017	2015	45	49	40	40	49	49	40	40	48	51	43	73	54	63	37	46	64	73	69	69	42	42	42	54	64	64	21	36	42	45	60	60	43	49	53	53	64	70	64	64	68	71	56	83	38	41	49	55	34	34	35	35	43	46	42	42	60	78	59	59	64	64	50	50	39	39	42	42	33	57	35	39	43	49	40	46	36	45	40	46	34	34
17R0007	5	2	Puyjalon	non	F	2017	2014	25	49	32	52	0	0	28	37	45	51	43	49	0	0	0	0	64	73	0	0	42	48	42	42	64	64	36	39	45	45	57	66	43	49	53	53	64	67	55	64	68	68	56	65	0	0	55	55	34	34	35	35	0	0	15	15	60	60	65	80	64	64	50	56	39	39	42	51	48	57	37	39	43	49	40	40	45	45	40	46	28	31
17R0008	6	1	Romaine	non	F	2017	2015	25	45	40	52	46	52	40	40	51	57	43	43	54	54	46	46	73	73	69	69	42	42	42	60	64	64	21	39	42	45	60	66	43	46	65	65	67	67	64	67	68	71	56	80	38	38	52	55	34	34	35	35	34	34	42	42	60	78	59	65	67	70	50	56	39	39	36	51	48	60	35	35	49	49	46	46	36	45	37	40	31	31
17R0009	7	1	Romaine	non	M	2017	2014	45	49	40	52	52	52	40	40	48	51	49	58	57	63	37	46	73	73	69	69	42	42	42	57	64	70	36	36	45	45	Unscored	Unscored	46	46	65	65	67	73	46	58	68	71	62	62	38	38	55	55	37	37	35	35	34	43	42	42	72	78	71	83	67	70	50	56	39	48	36	51	33	33	35	39	43	43	46	46	36	45	37	37	31	34
17R0010	8	2	Puyjalon	non	F	2017	2013	37	45	40	52	49	55	37	40	51	51	58	58	51	51	37	49	73	73	69	69	42	42	54	54	64	67	36	36	42	45	60	60	43	43	53	53	64	64	46	64	68	71	56	83	38	38	52	55	34	34	35	35	37	43	42	45	60	78	71	80	64	64	50	54	39	39	36	42	57	57	35	35	43	49	40	46	30	45	40	40	28	34
17R0012	9	2	Puyjalon	non	F	2017	2015	37	45	36	40	52	55	28	28	51	54	43	73	54	63	37	46	73	73	69	69	42	48	54	54	64	70	36	36	42	45	0	0	43	49	56	62	64	79	0	0	68	71	59	62	38	41	52	55	34	34	35	35	43	43	42	42	60	60	0	0	64	64	50	54	39	39	42	42	33	33	37	39	43	49	40	40	30	45	37	46	28	37
17R0013	10	2	Puyjalon	oui	F	2017	2015	41	45	40	52	55	55	28	40	51	54	58	73	51	54	46	46	73	73	69	69	42	48	42	54	64	64	36	36	42	45	60	60	49	49	53	53	64	64	0	0	68	71	56	83	38	38	49	55	34	34	35	41	37	37	42	42	60	78	65	71	64	67	50	50	39	39	42	51	57	66	37	39	49	49	40	40	36	45	46	46	31	34
17R0014	11	1	Romaine	non	F	2017	2015	45	49	52	52	52	52	40	40	48	57	49	49	51	66	46	46	73	73	60	69	42	42	42	60	64	70	21	42	45	45	60	66	46	46	53	65	73	73	55	55	71	71	56	59	38	38	52	55	28	37	35	35	16	34	42	42	60	78	65	68	64	67	50	50	39	39	42	51	33	48	35	35	49	49	40	46	30	45	37	40	31	34
17R0015	12	1	Romaine	non	M	2017	2015	45	45	52	52	49	52	28	28	48	48	49	73	57	66	46	49	64	70	69	69	42	42	42	42	64	70	0	0	42	45	0	0	46	46	65	65	73	79	55	58	68	68	62	62	38	38	49	55	34	34	35	35	34	37	39	39	60	81	65	80	58	64	50	58	39	39	36	36	33	33	35	35	43	43	40	46	30	36	40	40	31	34
17R0017	13	2	Puyjalon	non	F	2017	2014	25	49	40	56	52	52	40	43	51	51	49	49	54	63	37	46	67	73	69	69	48	48	42	54	64	64	36	39	45	45	0	0	43	46	53	65	73	73	46	55	0	0	62	62	38	38	55	55	34	34	35	35	37	37	Unscored	Unscored	0	0	0	0	0	0	50	54	39	39	42	51	33	33	35	37	49	49	46	46	30	36	37	40	31	37
17R0018	14	1	Romaine	non	F	2017	2015	45	45	52	52	46	52	28	40	48	51	43	49	57	66	46	46	73	73	69	72	42	42	42	42	64	70	36	36	45	45	0	0	46	49	56	65	64	67	0	0	68	68	59	83	38	38	55	55	28	37	35	44	34	43	39	42	0	0	65	65	0	0	50	50	39	48	36	36	33	48	35	35	43	49	46	49	45	45	37	37	31	34
17R0020	15	2	Puyjalon	non	M	2017	2013	25	45	32	40	52	55	40	40	48	51	49	73	54	54	46	46	73	73	69	69	42	48	42	54	64	64	36	36	42	45	0	0	43	46	53	65	73	79	46	46	71	71	56	83	38	41	52	55	34	34	35	41	16	37	39	42	0	0	0	0	0	0	50	50	39	39	36	42	33	33	35	37	43	49	40	46	36	45	37	37	34	37
17R0021	16	1	Romaine	non	M	2017	2015	25	45	36	52	46	49	40	40	51	57	73	73	63	63	46	46	73	73	69	69	42	45	42	42	64	64	21	36	45	45	57	60	46	46	65	65	67	73	43	55	68	71	62	62	38	38	49	55	34	37	35	38	37	43	42	42	60	78	59	71	58	67	56	56	39	39	36	51	33	33	35	35	49	49	40	49	30	45	40	40	31	31
17R0022	17	2	Puyjalon	non	F	2017	2015	25	25	36	40	49	52	40	40	51	51	49	73	54	57	37	46	73	73	69	69	0	0	42	42	64	70	36	42	45	45	63	69	43	46	56	56	73	79	46	64	68	68	56	59	38	41	52	55	28	34	35	44	37	43	42	45	78	81	59	80	61	64	50	50	0	0	42	42	0	0	35	37	49	52	40	40	45	45	37	40	37	37
17R0023	18	1	Romaine	non	M	2017	2015	45	45	52	52	49	49	40	40	51	57	49	73	51	63	37	46	64	73	69	69	42	42	42	42	64	64	39	39	48	48	66	66	46	46	65	65	73	73	46	55	68	71	59	62	38	38	49	55	28	34	35	35	37	40	39	42	0	0	0	0	64	67	50	54	39	39	51	51	48	60	35	35	43	43	40	40	45	45	40	40	31	31
17R0024	19	2	Puyjalon	non	F	2017	2015	37	37	32	40	49	55	28	37	51	54	49	49	54	57	37	37	0	0	69	72	42	48	42	60	67	70	0	0	45	45	0	0	46	49	53	53	64	73	X	X	0	0	62	62	38	38	55	55	28	34	35	35	43	43	39	42	0	0	59	71	0	0	50	50	39	39	42	51	33	33	35	37	49	49	46	46	36	45	37	37	31	37
17R0029	20	2	Puyjalon	non	F	2017	2015	37	45	40	48	49	49	28	37	51	51	43	49	54	63	37	49	73	73	54	72	42	42	42	54	64	70	36	42	42	45	0	0	46	49	56	62	73	79	0	0	0	0	56	56	41	41	52	55	28	34	35	41	43	43	42	42	0	0	0	0	64	70	50	56	39	39	42	51	33	33	35	37	49	49	46	46	45	45	40	46	31	31
17R0031	21	1	Romaine	non	F	2017	2015	45	45	52	52	46	52	40	40	51	57	49	49	51	57	37	46	73	73	69	69	42	42	42	60	64	70	21	30	45	45	60	60	46	46	65	65	67	73	58	64	68	71	62	74	38	38	49	55	28	34	35	44	34	43	15	42	60	78	65	68	58	64	50	50	39	39	36	42	48	57	35	37	49	49	40	40	30	30	40	40	31	31
17R0032	22	2	Puyjalon	non	F	2017	2015	25	41	40	40	49	49	37	37	51	51	49	73	63	63	37	37	67	73	69	72	42	42	42	60	64	64	36	39	45	45	66	69	43	43	53	65	73	79	46	46	68	71	62	83	38	38	55	55	34	34	35	35	34	43	45	45	60	78	56	80	64	64	50	50	39	39	36	51	33	54	37	37	49	49	40	46	45	45	37	40	31	37
17R0033	23	2	Puyjalon	non	F	2017	2014	25	25	40	40	52	55	37	40	51	51	49	49	57	63	37	46	64	73	69	72	42	42	42	54	67	67	36	36	42	45	60	60	43	49	62	68	73	79	46	46	68	71	56	62	38	41	52	55	28	34	35	35	37	43	42	42	60	75	59	59	64	64	50	50	39	39	36	36	33	33	35	37	49	49	40	40	36	45	37	37	34	37
17R0034	24	2	Puyjalon	non	F	2017	2014	25	37	40	52	52	52	28	40	51	51	49	73	63	63	37	46	64	73	69	69	42	42	42	54	64	64	36	39	42	42	60	66	46	49	53	65	73	73	0	0	68	68	56	56	38	41	49	55	34	34	35	35	43	43	42	45	60	60	0	0	58	64	50	54	39	39	36	42	33	57	39	39	43	49	46	46	45	45	46	46	28	28
17R0035	25	2	Puyjalon	non	F	2017	2015	45	65	36	40	49	55	40	40	48	51	49	49	54	54	37	37	73	73	69	69	42	48	42	42	64	70	36	42	42	45	66	69	43	46	49	65	73	79	46	64	68	71	59	62	38	41	52	52	28	34	35	35	16	43	39	42	60	75	80	80	61	64	50	50	39	39	42	51	33	57	37	37	49	49	40	40	36	45	37	40	37	37
17R0036	26	1	Romaine	non	F	2017	2015	25	45	44	52	46	52	40	40	57	57	49	73	54	63	46	46	64	73	69	72	42	48	42	42	64	70	39	39	42	45	66	66	43	43	53	68	67	73	0	0	68	68	56	56	38	38	52	52	37	37	35	38	37	37	Unscored	Unscored	60	60	59	59	64	67	50	56	39	39	42	51	33	33	35	35	43	43	46	49	45	45	37	40	31	37
17R0038	27	1	Romaine	non	F	2017	2015	37	45	40	52	46	49	28	40	48	51	49	70	42	54	46	46	73	73	69	72	42	42	42	42	64	70	36	39	45	48	0	0	46	46	65	77	67	73	43	58	68	71	59	74	38	44	52	55	28	28	35	35	34	37	39	42	60	60	59	80	64	70	50	50	39	39	36	36	33	33	35	35	43	49	40	46	30	45	37	40	31	34
